,Pokemon Id,Pokedex Number,Name,Classification,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
162,258,165,Ledyba,"""Five Star Pokemon""",1.0,10.8,"""Bug""","""Flying""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""","""Early Bird""","""The Pokémon awakens from sleep twice as fast as other Pokémon.""","""Rattled""","""Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.""",50.0,50.0,70,"""Gold""","""Johto""",40,20,30,40,80,55,265,0,0,0,0,1,0,1,255,"""Fast""",800000,53,"""Bug""",,15,,,165,Bug,Flying,265,40,20,30,40,80,55,2,False
163,259,166,Ledian,"""Five Star Pokemon""",1.4,35.6,"""Bug""","""Flying""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""","""Early Bird""","""The Pokémon awakens from sleep twice as fast as other Pokémon.""","""Iron Fist""","""Powers up punching moves.""",50.0,50.0,70,"""Gold""","""Johto""",55,35,50,55,110,85,390,0,0,0,0,2,0,2,90,"""Fast""",800000,137,"""Bug""",,15,258.0,"""Level 18""",166,Bug,Flying,390,55,35,50,55,110,85,2,False
164,260,167,Spinarak,"""String Spit Pokemon""",0.5,8.5,"""Bug""","""Poison""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""","""Insomnia""","""The Pokémon is suffering from insomnia and cannot fall asleep.""","""Sniper""","""Powers up moves if they become critical hits when attacking.""",50.0,50.0,70,"""Gold""","""Johto""",40,60,40,40,40,30,250,0,1,0,0,0,0,1,255,"""Fast""",800000,50,"""Bug""",,15,,,167,Bug,Poison,250,40,60,40,40,40,30,2,False
165,261,168,Ariados,"""Long Leg Pokemon""",1.1,33.5,"""Bug""","""Poison""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""","""Insomnia""","""The Pokémon is suffering from insomnia and cannot fall asleep.""","""Sniper""","""Powers up moves if they become critical hits when attacking.""",50.0,50.0,70,"""Gold""","""Johto""",70,90,70,60,70,40,400,0,2,0,0,0,0,2,90,"""Fast""",800000,140,"""Bug""",,15,260.0,"""Level 22""",168,Bug,Poison,390,70,90,70,60,60,40,2,False
166,63,169,Crobat,"""Bat Pokemon""",1.8,75.0,"""Poison""","""Flying""","""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""",,,"""Infiltrator""","""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""",50.0,50.0,70,"""Gold""","""Johto""",85,90,80,70,80,130,535,0,0,0,0,0,3,3,90,"""Medium Fast""",1000000,241,"""Flying""",,15,62.0,,169,Poison,Flying,535,85,90,80,70,80,130,2,False
167,262,170,Chinchou,"""Angler Pokemon""",0.5,12.0,"""Water""","""Electric""","""Volt Absorb""","""Restores HP if hit by an Electric-type move instead of taking damage.""","""Illuminate""","""Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.""","""Water Absorb""","""Restores HP if hit by a Water-type move instead of taking damage.""",50.0,50.0,70,"""Gold""","""Johto""",75,38,38,56,56,67,330,1,0,0,0,0,0,1,190,"""Slow""",1250000,66,"""Water 2""",,20,,,170,Water,Electric,330,75,38,38,56,56,67,2,False
168,263,171,Lanturn,"""Light Pokemon""",1.2,22.5,"""Water""","""Electric""","""Volt Absorb""","""Restores HP if hit by an Electric-type move instead of taking damage.""","""Illuminate""","""Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.""","""Water Absorb""","""Restores HP if hit by a Water-type move instead of taking damage.""",50.0,50.0,70,"""Gold""","""Johto""",125,58,58,76,76,67,460,2,0,0,0,0,0,2,75,"""Slow""",1250000,161,"""Water 2""",,20,262.0,"""Level 27""",171,Water,Electric,460,125,58,58,76,76,67,2,False
169,88,172,Pichu,"""Tiny Mouse Pokemon""",0.3,2.0,"""Electric""",,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",,,"""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""",50.0,50.0,70,"""Gold""","""Johto""",20,40,15,35,35,60,205,0,0,0,0,0,1,1,190,"""Medium Fast""",1000000,41,"""Undiscovered""",,10,,,172,Electric,,205,20,40,15,35,35,60,2,False
170,51,173,Cleffa,"""Star Shape Pokemon""",0.3,3.0,"""Fairy""",,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Bounce""","""Reflects status moves instead of getting hit by them.""","""Friend Guard""","""Reduces damage done to allies.""",25.0,75.0,140,"""Gold""","""Johto""",50,25,28,45,55,15,218,0,0,0,0,1,0,1,150,"""Fast""",800000,44,"""Undiscovered""",,10,,,173,Fairy,,218,50,25,28,45,55,15,2,False
171,58,174,Igglybuff,"""Balloon Pokemon""",0.3,1.0,"""Normal""","""Fairy""","""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Competitive""","""Boosts the Sp. Atk stat sharply when a stat is lowered.""","""Friend Guard""","""Reduces damage done to allies.""",25.0,75.0,70,"""Gold""","""Johto""",90,30,15,40,20,15,210,1,0,0,0,0,0,1,170,"""Fast""",800000,45,"""Undiscovered""",,10,,,174,Normal,Fairy,210,90,30,15,40,20,15,2,False
172,264,175,Togepi,"""Spike Ball Pokemon""",0.3,1.5,"""Fairy""",,"""Hustle""","""Boosts the Attack stat, but lowers accuracy.""","""Serene Grace""","""Boosts the likelihood of additional effects occurring when attacking.""","""Super Luck""","""The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.""",87.5,12.5,70,"""Gold""","""Johto""",35,20,65,40,65,20,245,0,0,0,0,1,0,1,190,"""Fast""",800000,49,"""Undiscovered""",,10,,,175,Fairy,,245,35,20,65,40,65,20,2,False
173,265,176,Togetic,"""Happiness Pokemon""",0.6,3.2,"""Fairy""","""Flying""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""","""Serene Grace""","""Boosts the likelihood of additional effects occurring when attacking.""","""Super Luck""","""The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.""",87.5,12.5,70,"""Gold""","""Johto""",55,40,85,80,105,40,405,0,0,0,0,2,0,2,75,"""Fast""",800000,142,"""Flying""","""Fairy""",10,264.0,,176,Fairy,Flying,405,55,40,85,80,105,40,2,False
174,266,177,Natu,"""Tiny Bird Pokemon""",0.2,2.0,"""Psychic""","""Flying""","""Synchronize""","""The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.""","""Early Bird""","""The Pokémon awakens from sleep twice as fast as other Pokémon.""","""Magic Bounce""","""Reflects status moves instead of getting hit by them.""",50.0,50.0,70,"""Gold""","""Johto""",40,50,45,70,45,70,320,0,0,0,1,0,0,1,190,"""Medium Fast""",1000000,64,"""Flying""",,20,,,177,Psychic,Flying,320,40,50,45,70,45,70,2,False
175,267,178,Xatu,"""Mystic Pokemon""",1.5,15.0,"""Psychic""","""Flying""","""Synchronize""","""The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.""","""Early Bird""","""The Pokémon awakens from sleep twice as fast as other Pokémon.""","""Magic Bounce""","""Reflects status moves instead of getting hit by them.""",50.0,50.0,70,"""Gold""","""Johto""",65,75,70,95,70,95,470,0,0,0,1,0,1,2,75,"""Medium Fast""",1000000,165,"""Flying""",,20,266.0,"""Level 25""",178,Psychic,Flying,470,65,75,70,95,70,95,2,False
176,278,179,Mareep,"""Wool Pokemon""",0.6,7.8,"""Electric""",,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",,,"""Plus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""",50.0,50.0,70,"""Gold""","""Johto""",55,40,40,65,45,35,280,0,0,0,1,0,0,1,235,"""Medium Slow""",1059860,56,"""Monster""","""Field""",20,,,179,Electric,,280,55,40,40,65,45,35,2,False
177,279,180,Flaaffy,"""Wool Pokemon""",0.8,13.3,"""Electric""",,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",,,"""Plus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""",50.0,50.0,70,"""Gold""","""Johto""",70,55,55,80,60,45,365,0,0,0,2,0,0,2,120,"""Medium Slow""",1059860,128,"""Monster""","""Field""",20,278.0,"""Level 15""",180,Electric,,365,70,55,55,80,60,45,2,False
178,280,181,Ampharos,"""Light Pokemon""",1.4,61.5,"""Electric""",,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",,,"""Plus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""",50.0,50.0,70,"""Gold""","""Johto""",90,75,85,115,90,55,510,0,0,0,3,0,0,3,45,"""Medium Slow""",1059860,230,"""Monster""","""Field""",20,279.0,"""Level 30""",181,Electric,,510,90,75,85,115,90,55,2,False
179,67,182,Bellossom,"""Flower Pokemon""",0.4,5.8,"""Grass""",,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,,,"""Healer""","""Sometimes heals an ally's status condition.""",50.0,50.0,70,"""Gold""","""Johto""",75,80,95,90,100,50,490,0,0,0,0,3,0,3,45,"""Medium Slow""",1059860,221,"""Grass""",,20,65.0,"""Sun Stone""",182,Grass,,490,75,80,95,90,100,50,2,False
180,283,183,Marill,"""Aqua Mouse Pokemon""",0.4,8.5,"""Water""","""Fairy""","""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ""","""Huge Power""","""Doubles the Pokémon's Attack stat.""","""Sap Sipper""","""Boosts the Attack stat if hit by a Grass-type move instead of taking damage.""",50.0,50.0,70,"""Gold""","""Johto""",70,20,50,20,50,40,250,2,0,0,0,0,0,2,190,"""Fast""",800000,88,"""Water 1""","""Fairy""",10,426.0,,183,Water,Fairy,250,70,20,50,20,50,40,2,False
181,284,184,Azumarill,"""Aqua Rabbit Pokemon""",0.8,28.5,"""Water""","""Fairy""","""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ""","""Huge Power""","""Doubles the Pokémon's Attack stat.""","""Sap Sipper""","""Boosts the Attack stat if hit by a Grass-type move instead of taking damage.""",50.0,50.0,70,"""Gold""","""Johto""",100,50,80,60,80,50,420,3,0,0,0,0,0,3,75,"""Fast""",800000,189,"""Water 1""","""Fairy""",10,283.0,"""Level 18""",184,Water,Fairy,420,100,50,80,60,80,50,2,False
182,285,185,Sudowoodo,"""Imitation Pokemon""",1.2,38.0,"""Rock""",,"""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""","""Rock Head""","""Protects the Pokémon from recoil damage.""","""Rattled""","""Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.""",50.0,50.0,70,"""Gold""","""Johto""",70,110,115,30,65,30,420,0,0,2,0,0,0,2,65,"""Medium Fast""",1000000,144,"""Mineral""",,20,636.0,"""Knowing Mimic""",185,Rock,,410,70,100,115,30,65,30,2,False
183,286,186,Politoed,"""Frog Pokemon""",1.1,33.9,"""Water""",,"""Water Absorb""","""Restores HP if hit by a Water-type move instead of taking damage.""","""Damp""","""Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.""","""Drizzle""","""The Pokémon makes it rain when it enters a battle.""",50.0,50.0,70,"""Gold""","""Johto""",90,75,75,90,100,70,500,0,0,0,0,3,0,3,45,"""Medium Slow""",1059860,225,"""Water 1""",,20,982.0,"""King's Rock""",186,Water,,500,90,75,75,90,100,70,2,False
184,287,187,Hoppip,"""Cottonweed Pokemon""",0.4,0.5,"""Grass""","""Flying""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. ""","""Leaf Guard""","""Prevents status conditions in harsh sunlight.""","""Infiltrator""","""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""",50.0,50.0,70,"""Gold""","""Johto""",35,35,40,35,55,50,250,0,0,0,0,1,0,1,255,"""Medium Slow""",1059860,50,"""Fairy""","""Grass""",20,,,187,Grass,Flying,250,35,35,40,35,55,50,2,False
185,288,188,Skiploom,"""Cottonweed Pokemon""",0.6,1.0,"""Grass""","""Flying""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. ""","""Leaf Guard""","""Prevents status conditions in harsh sunlight.""","""Infiltrator""","""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""",50.0,50.0,70,"""Gold""","""Johto""",55,45,50,45,65,80,340,0,0,0,0,0,2,2,120,"""Medium Slow""",1059860,119,"""Fairy""","""Grass""",20,287.0,"""Level 18""",188,Grass,Flying,340,55,45,50,45,65,80,2,False
186,289,189,Jumpluff,"""Cottonweed Pokemon""",0.8,3.0,"""Grass""","""Flying""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. ""","""Leaf Guard""","""Prevents status conditions in harsh sunlight.""","""Infiltrator""","""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""",50.0,50.0,70,"""Gold""","""Johto""",75,55,70,55,95,110,460,0,0,0,0,0,3,3,45,"""Medium Slow""",1059860,207,"""Fairy""","""Grass""",20,288.0,"""Level 27""",189,Grass,Flying,460,75,55,70,55,95,110,2,False
187,290,190,Aipom,"""Long Tail Pokemon""",0.8,11.5,"""Normal""",,"""Run Away""","""Enables a sure getaway from wild Pokémon.""","""Pickup""","""The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.""","""Skill Link""","""Maximizes the number of times multistrike moves hit.""",50.0,50.0,70,"""Gold""","""Johto""",55,70,55,40,55,85,360,0,0,0,0,0,1,1,45,"""Fast""",800000,72,"""Field""",,20,,,190,Normal,,360,55,70,55,40,55,85,2,False
188,291,191,Sunkern,"""Seed Pokemon""",0.3,1.8,"""Grass""",,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. ""","""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""","""Early Bird""","""The Pokémon awakens from sleep twice as fast as other Pokémon.""",50.0,50.0,70,"""Gold""","""Johto""",30,30,30,30,30,30,180,0,0,0,1,0,0,1,235,"""Medium Slow""",1059860,36,"""Grass""",,20,,,191,Grass,,180,30,30,30,30,30,30,2,False
189,292,192,Sunflora,"""Sun Pokemon""",0.8,8.5,"""Grass""",,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. ""","""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""","""Early Bird""","""The Pokémon awakens from sleep twice as fast as other Pokémon.""",50.0,50.0,70,"""Gold""","""Johto""",75,75,55,105,85,30,425,0,0,0,2,0,0,2,120,"""Medium Slow""",1059860,149,"""Grass""",,20,291.0,"""Sun Stone""",192,Grass,,425,75,75,55,105,85,30,2,False
190,293,193,Yanma,"""Clear Wing Pokemon""",1.2,38.0,"""Bug""","""Flying""","""Speed Boost""","""Its Speed stat is boosted every turn.""","""Compound Eyes""","""The Pokémon's compound eyes boost its accuracy.""","""Frisk""","""When it enters a battle, the Pokémon can check an opposing Pokémon's held item.""",50.0,50.0,70,"""Gold""","""Johto""",65,65,45,75,45,95,390,0,0,0,0,0,1,1,75,"""Medium Fast""",1000000,78,"""Bug""",,20,,,193,Bug,Flying,390,65,65,45,75,45,95,2,False
191,294,194,Wooper,"""Water Fish Pokemon""",0.4,8.5,"""Water""","""Ground""","""Damp""","""Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.""","""Water Absorb""","""Restores HP if hit by a Water-type move instead of taking damage.""","""Unaware""","""When attacking, the Pokémon ignores the target Pokémon's stat changes.""",50.0,50.0,70,"""Gold""","""Johto""",55,45,45,25,25,15,210,1,0,0,0,0,0,1,255,"""Medium Fast""",1000000,42,"""Water 1""","""Field""",20,,,194,Water,Ground,210,55,45,45,25,25,15,2,False
192,295,195,Quagsire,"""Water Fish Pokemon""",1.4,75.0,"""Water""","""Ground""","""Damp""","""Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.""","""Water Absorb""","""Restores HP if hit by a Water-type move instead of taking damage.""","""Unaware""","""When attacking, the Pokémon ignores the target Pokémon's stat changes.""",50.0,50.0,70,"""Gold""","""Johto""",95,85,85,65,65,35,430,2,0,0,0,0,0,2,90,"""Medium Fast""",1000000,151,"""Water 1""","""Field""",20,294.0,"""Level 20""",195,Water,Ground,430,95,85,85,65,65,35,2,False
193,296,196,Espeon,"""Sun Pokemon""",0.9,26.5,"""Psychic""",,"""Synchronize""","""The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.""",,,"""Magic Bounce""","""Reflects status moves instead of getting hit by them.""",87.5,12.5,70,"""Gold""","""Johto""",65,65,60,130,95,110,525,0,0,0,2,0,0,2,45,"""Medium Fast""",1000000,184,"""Field""",,35,228.0,"""During The Day""",196,Psychic,,525,65,65,60,130,95,110,2,False
194,297,197,Umbreon,"""Moonlight Pokemon""",1.0,27.0,"""Dark""",,"""Synchronize""","""The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.""",,,"""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""",87.5,12.5,35,"""Gold""","""Johto""",95,65,110,60,130,65,525,0,0,0,0,2,0,2,45,"""Medium Fast""",1000000,184,"""Field""",,35,228.0,"""During The Night""",197,Dark,,525,95,65,110,60,130,65,2,False
195,298,198,Murkrow,"""Darkness Pokemon""",0.5,2.1,"""Dark""","""Flying""","""Insomnia""","""The Pokémon is suffering from insomnia and cannot fall asleep.""","""Super Luck""","""The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.""","""Prankster""","""Gives priority to a status move.""",50.0,50.0,35,"""Gold""","""Johto""",60,85,42,85,42,91,405,0,0,0,0,0,1,1,30,"""Medium Slow""",1059860,81,"""Flying""",,20,,,198,Dark,Flying,405,60,85,42,85,42,91,2,False
196,299,199,Slowking,"""Royal Pokemon""",2.0,79.5,"""Water""","""Psychic""","""Oblivious""","""The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.""","""Own Tempo""","""This Pokémon has its own tempo, and that prevents it from becoming confused.""","""Regenerator""","""Restores a little HP when withdrawn from battle.""",50.0,50.0,70,"""Gold""","""Johto""",95,75,80,100,110,30,490,0,0,0,0,3,0,3,70,"""Medium Fast""",1000000,172,"""Monster""","""Water 1""",20,1319.0,"""King's Rock""",199,Water,Psychic,490,95,75,80,100,110,30,2,False
197,324,200,Misdreavus,"""Screech Pokemon""",0.7,1.0,"""Ghost""",,"""Levitate""","""By floating in the air, the Pokémon receives full immunity to all Ground-type moves.""",,,,,50.0,50.0,35,"""Gold""","""Johto""",60,60,60,85,85,85,435,0,0,0,0,1,0,1,45,"""Fast""",800000,87,"""Amorphous""",,25,,,200,Ghost,,435,60,60,60,85,85,85,2,False
198,325,201,Unown,"""Symbol Pokemon""",0.5,5.0,"""Psychic""",,"""Levitate""","""By floating in the air, the Pokémon receives full immunity to all Ground-type moves.""",,,,,0.0,0.0,70,"""Gold""","""Johto""",48,72,48,72,48,48,336,0,1,0,1,0,0,2,225,"""Medium Fast""",1000000,118,"""Undiscovered""",,40,,,201,Psychic,,336,48,72,48,72,48,48,2,False
199,326,202,Wobbuffet,"""Patient Pokemon""",1.3,28.5,"""Psychic""",,"""Shadow Tag""","""This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.""",,,"""Telepathy""","""Anticipates an ally's attack and dodges it.""",50.0,50.0,70,"""Gold""","""Johto""",190,33,58,33,58,33,405,2,0,0,0,0,0,2,45,"""Medium Fast""",1000000,142,"""Amorphous""",,20,488.0,"""Level 15""",202,Psychic,,405,190,33,58,33,58,33,2,False
200,327,203,Girafarig,"""Long Neck Pokemon""",1.5,41.5,"""Normal""","""Psychic""","""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""","""Early Bird""","""The Pokémon awakens from sleep twice as fast as other Pokémon.""","""Sap Sipper""","""Boosts the Attack stat if hit by a Grass-type move instead of taking damage.""",50.0,50.0,70,"""Gold""","""Johto""",70,80,65,90,65,85,455,0,0,0,2,0,0,2,60,"""Medium Fast""",1000000,159,"""Field""",,20,,,203,Normal,Psychic,455,70,80,65,90,65,85,2,False
201,328,204,Pineco,"""Bagworm Pokemon""",0.6,7.2,"""Bug""",,"""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""",,,"""Overcoat""","""Protects the Pokémon from things like sand, hail, and powder.""",50.0,50.0,70,"""Gold""","""Johto""",50,65,90,35,35,15,290,0,0,1,0,0,0,1,190,"""Medium Fast""",1000000,58,"""Bug""",,20,,,204,Bug,,290,50,65,90,35,35,15,2,False
202,329,205,Forretress,"""Bagworm Pokemon""",1.2,125.8,"""Bug""","""Steel""","""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""",,,"""Overcoat""","""Protects the Pokémon from things like sand, hail, and powder.""",50.0,50.0,70,"""Gold""","""Johto""",75,90,140,60,60,40,465,0,0,2,0,0,0,2,75,"""Medium Fast""",1000000,163,"""Bug""",,20,328.0,"""Level 31""",205,Bug,Steel,465,75,90,140,60,60,40,2,False
203,330,206,Dunsparce,"""Land Snake Pokemon""",1.5,14.0,"""Normal""",,"""Serene Grace""","""Boosts the likelihood of additional effects occurring when attacking.""","""Run Away""","""Enables a sure getaway from wild Pokémon.""","""Rattled""","""Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.""",50.0,50.0,70,"""Gold""","""Johto""",100,70,70,65,65,45,415,1,0,0,0,0,0,1,190,"""Medium Fast""",1000000,145,"""Field""",,20,,,206,Normal,,415,100,70,70,65,65,45,2,False
204,331,207,Gligar,"""Fly Scorpion Pokemon""",1.1,64.8,"""Ground""","""Flying""","""Hyper Cutter""","""The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.""","""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""","""Immunity""","""The immune system of the Pokémon prevents it from getting poisoned.""",50.0,50.0,70,"""Gold""","""Johto""",65,75,105,35,65,85,430,0,0,1,0,0,0,1,60,"""Medium Slow""",1059860,86,"""Bug""",,20,,,207,Ground,Flying,430,65,75,105,35,65,85,2,False
205,332,208,Steelix,"""Iron Snake Pokemon""",9.2,400.0,"""Steel""","""Ground""","""Rock Head""","""Protects the Pokémon from recoil damage.""","""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",50.0,50.0,70,"""Gold""","""Johto""",75,85,200,55,65,30,510,0,0,2,0,0,0,2,25,"""Medium Fast""",1000000,179,"""Mineral""",,25,1354.0,"""Metal Coat""",208,Steel,Ground,510,75,85,200,55,65,30,2,False
206,333,209,Snubbull,"""Fairy Pokemon""",0.6,7.8,"""Fairy""",,"""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Run Away""","""Enables a sure getaway from wild Pokémon.""","""Rattled""","""Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.""",25.0,75.0,70,"""Gold""","""Johto""",60,80,50,40,40,30,300,0,1,0,0,0,0,1,190,"""Fast""",800000,60,"""Field""","""Fairy""",20,,,209,Fairy,,300,60,80,50,40,40,30,2,False
207,334,210,Granbull,"""Fairy Pokemon""",1.4,48.7,"""Fairy""",,"""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Quick Feet""","""Boosts the Speed stat if the Pokémon has a status condition.""","""Rattled""","""Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.""",25.0,75.0,70,"""Gold""","""Johto""",90,120,75,60,60,45,450,0,2,0,0,0,0,2,75,"""Fast""",800000,158,"""Field""","""Fairy""",20,333.0,"""Level 23""",210,Fairy,,450,90,120,75,60,60,45,2,False
208,335,211,Qwilfish,"""Balloon Pokemon""",0.5,3.9,"""Water""","""Poison""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Swift Swim""","""Boosts the Pokémon's Speed stat in rain.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""",50.0,50.0,70,"""Gold""","""Johto""",65,95,85,55,55,85,440,0,1,0,0,0,0,1,45,"""Medium Fast""",1000000,88,"""Water 2""",,20,,,211,Water,Poison,430,65,95,75,55,55,85,2,False
209,336,212,Scizor,"""Pincer Pokemon""",1.8,118.0,"""Bug""","""Steel""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""","""Technician""","""Powers up the Pokémon's weaker moves.""","""Light Metal""","""Halves the Pokémon's weight.""",50.0,50.0,70,"""Gold""","""Johto""",70,130,100,55,80,65,500,0,2,0,0,0,0,2,25,"""Medium Fast""",1000000,175,"""Bug""",,25,219.0,"""Metal Coat""",212,Bug,Steel,500,70,130,100,55,80,65,2,False
210,337,213,Shuckle,"""Mold Pokemon""",0.6,20.5,"""Bug""","""Rock""","""Sturdy""","""It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.""","""Gluttony""","""Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.""","""Contrary""","""Makes stat changes have an opposite effect.""",50.0,50.0,70,"""Gold""","""Johto""",20,10,230,10,230,5,505,0,0,1,0,1,0,2,190,"""Medium Slow""",1059860,177,"""Bug""",,20,,,213,Bug,Rock,505,20,10,230,10,230,5,2,False
211,338,214,Heracross,"""Single Horn Pokemon""",1.5,54.0,"""Bug""","""Fighting""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""","""Moxie""","""The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.""",50.0,50.0,70,"""Gold""","""Johto""",80,125,75,40,95,85,500,0,2,0,0,0,0,2,45,"""Slow""",1250000,175,"""Bug""",,25,,,214,Bug,Fighting,500,80,125,75,40,95,85,2,False
212,339,215,Sneasel,"""Sharp Claw Pokemon""",0.9,28.0,"""Dark""","""Ice""","""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""","""Pickpocket""","""Steals an item from an attacker that made direct contact.""",50.0,50.0,35,"""Gold""","""Johto""",55,95,55,35,75,115,430,0,0,0,0,0,1,1,60,"""Medium Slow""",1059860,86,"""Field""",,20,,,215,Dark,Ice,430,55,95,55,35,75,115,2,False
213,340,216,Teddiursa,"""Little Bear Pokemon""",0.6,8.8,"""Normal""",,"""Pickup""","""The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.""","""Quick Feet""","""Boosts the Speed stat if the Pokémon has a status condition.""","""Honey Gather""","""The Pokémon may gather Honey after a battle.""",50.0,50.0,70,"""Gold""","""Johto""",60,80,50,50,50,40,330,0,1,0,0,0,0,1,120,"""Medium Fast""",1000000,66,"""Field""",,20,,,216,Normal,,330,60,80,50,50,50,40,2,False
